iter	Passed	Remaining
0	88	62092
1	118	41359
2	164	38155
3	196	34204
4	226	31547
5	253	29272
6	279	27718
7	304	26347
8	331	25429
9	356	24614
10	379	23765
11	410	23533
12	440	23262
13	465	22786
14	492	22489
15	517	22113
16	541	21753
17	566	21451
18	592	21251
19	624	21247
20	653	21125
21	692	21339
22	722	21281
23	752	21198
24	782	21127
25	805	20882
26	829	20673
27	857	20580
28	881	20390
29	907	20260
30	930	20090
31	957	19983
32	985	19920
33	1010	19800
34	1037	19704
35	1065	19649
36	1094	19620
37	1125	19609
38	1154	19560
39	1178	19447
40	1203	19338
41	1227	19230
42	1251	19126
43	1291	19258
44	1314	19139
45	1338	19026
46	1362	18929
47	1386	18829
48	1409	18725
49	1447	18816
50	1476	18795
51	1506	18768
52	1580	19288
53	1616	19333
54	1652	19377
55	1712	19696
56	1740	19636
57	1769	19591
58	1808	19646
59	1834	19573
60	1870	19598
61	1952	20092
62	1989	20117
63	2018	20056
64	2042	19956
65	2069	19878
66	2101	19855
67	2140	19896
68	2185	19985
69	2213	19917
70	2245	19897
71	2281	19903
72	2320	19929
73	2347	19856
74	2377	19808
75	2405	19750
76	2436	19716
77	2467	19673
78	2496	19624
79	2542	19703
80	2608	19935
81	2639	19892
82	2674	19882
83	2710	19876
84	2770	20045
85	2801	20003
86	2838	20001
87	2876	20002
88	2934	20144
89	2974	20159
90	3007	20126
91	3038	20081
92	3064	20001
93	3091	19931
94	3123	19891
95	3150	19819
96	3175	19743
97	3202	19669
98	3227	19593
99	3254	19525
100	3280	19456
101	3306	19384
102	3333	19321
103	3357	19238
104	3391	19220
105	3424	19188
106	3450	19121
107	3475	19052
108	3535	19169
109	3599	19304
110	3664	19443
111	3701	19435
112	3732	19387
113	3756	19308
114	3783	19247
115	3809	19177
116	3836	19115
117	3861	19046
118	3889	18991
119	3913	18916
120	3940	18857
121	3964	18784
122	3992	18728
123	4021	18682
124	4052	18643
125	4081	18591
126	4117	18576
127	4147	18535
128	4174	18477
129	4200	18418
130	4226	18358
131	4255	18311
132	4283	18259
133	4311	18211
134	4339	18161
135	4368	18117
136	4398	18075
137	4424	18016
138	4449	17957
139	4474	17898
140	4503	17852
141	4529	17800
142	4555	17743
143	4581	17690
144	4611	17649
145	4635	17589
146	4657	17519
147	4681	17458
148	4705	17400
149	4731	17349
150	4756	17293
151	4782	17243
152	4811	17203
153	4836	17147
154	4864	17104
155	4899	17084
156	4927	17043
157	4952	16988
158	4978	16940
159	5004	16890
160	5031	16844
161	5057	16794
162	5081	16741
163	5109	16699
164	5140	16668
165	5168	16624
166	5195	16580
167	5220	16532
168	5245	16482
169	5278	16456
170	5304	16411
171	5330	16364
172	5357	16319
173	5385	16278
174	5412	16237
175	5440	16196
176	5468	16158
177	5495	16114
178	5521	16070
179	5545	16021
180	5572	15977
181	5595	15925
182	5622	15884
183	5645	15832
184	5668	15779
185	5694	15737
186	5719	15691
187	5742	15639
188	5766	15591
189	5791	15544
190	5818	15505
191	5842	15459
192	5869	15418
193	5907	15408
194	5942	15388
195	5969	15350
196	5997	15312
197	6023	15270
198	6047	15224
199	6069	15173
200	6099	15141
201	6128	15110
202	6154	15068
203	6178	15022
204	6202	14976
205	6224	14927
206	6252	14890
207	6274	14842
208	6329	14869
209	6362	14846
210	6390	14811
211	6413	14763
212	6437	14718
213	6462	14677
214	6488	14637
215	6514	14597
216	6541	14559
217	6570	14527
218	6597	14490
219	6623	14450
220	6647	14408
221	6671	14364
222	6697	14325
223	6722	14284
224	6747	14244
225	6772	14204
226	6798	14165
227	6824	14127
228	6853	14095
229	6880	14061
230	6910	14030
231	6939	13997
232	6966	13963
233	6993	13927
234	7018	13887
235	7045	13852
236	7074	13820
237	7100	13784
238	7142	13776
239	7166	13735
240	7190	13695
241	7218	13660
242	7247	13629
243	7275	13596
244	7301	13559
245	7327	13522
246	7356	13492
247	7383	13456
248	7411	13424
249	7438	13388
250	7466	13356
251	7494	13323
252	7523	13292
253	7550	13257
254	7576	13222
255	7601	13183
256	7626	13145
257	7651	13108
258	7678	13074
259	7703	13037
260	7731	13004
261	7761	12974
262	7786	12938
263	7816	12908
264	7842	12874
265	7872	12844
266	7898	12808
267	7928	12779
268	7957	12749
269	7981	12710
270	8012	12684
271	8040	12651
272	8070	12623
273	8100	12593
274	8126	12559
275	8151	12522
276	8173	12482
277	8201	12449
278	8225	12412
279	8304	12456
280	8330	12421
281	8359	12390
282	8384	12354
283	8410	12319
284	8435	12283
285	8464	12252
286	8490	12217
287	8515	12181
288	8540	12146
289	8566	12110
290	8592	12076
291	8618	12041
292	8644	12008
293	8672	11975
294	8705	11951
295	8736	11924
296	8766	11895
297	8793	11862
298	8822	11831
299	8848	11798
300	8879	11770
301	8908	11740
302	8942	11716
303	8970	11685
304	8996	11650
305	9020	11614
306	9047	11582
307	9087	11565
308	9114	11532
309	9139	11498
310	9165	11463
311	9189	11428
312	9217	11397
313	9245	11365
314	9271	11331
315	9299	11300
316	9329	11271
317	9357	11240
318	9381	11205
319	9409	11173
320	9436	11141
321	9462	11108
322	9489	11075
323	9516	11043
324	9543	11011
325	9572	10981
326	9601	10952
327	9630	10922
328	9659	10892
329	9682	10855
330	9707	10821
331	9733	10788
332	9760	10757
333	9787	10724
334	9813	10692
335	9838	10658
336	9863	10624
337	9892	10594
338	9919	10563
339	9946	10532
340	9972	10498
341	9998	10465
342	10031	10440
343	10072	10423
344	10111	10404
345	10159	10394
346	10185	10361
347	10210	10328
348	10239	10298
349	10266	10266
350	10294	10235
351	10321	10204
352	10346	10170
353	10373	10138
354	10400	10107
355	10424	10073
356	10449	10039
357	10474	10006
358	10495	9969
359	10523	9938
360	10549	9906
361	10576	9875
362	10601	9842
363	10627	9809
