iter	Logloss
0	0.6466971701
1	0.6069818249
2	0.5693553347
3	0.5369541063
4	0.510947854
5	0.482494799
6	0.4603989339
7	0.4384771611
8	0.4211000296
9	0.4061088981
10	0.3931340913
11	0.3812561842
12	0.3703051377
13	0.3612741127
14	0.3514097957
15	0.3416721649
16	0.3340983891
17	0.3272778201
18	0.3208733563
19	0.3153738817
20	0.3104177424
21	0.3066461725
22	0.3018529983
23	0.2981420895
24	0.2948418405
25	0.2914108337
26	0.2891749657
27	0.2866240625
28	0.2843898877
29	0.2819742068
30	0.2793984617
31	0.2770441693
32	0.2752599828
33	0.2732073848
34	0.2713180012
35	0.2695960365
36	0.2681571927
37	0.266784007
38	0.2657522235
39	0.2643445827
40	0.2627291799
41	0.2619670149
42	0.2611042086
43	0.2599288362
44	0.2588236968
45	0.2573942703
46	0.2566889031
47	0.2555205263
48	0.2543164245
49	0.2530073734
50	0.2522570808
51	0.2510415297
52	0.2505349546
53	0.2498116937
54	0.2491130111
55	0.2487573206
56	0.2481270579
57	0.2475428159
58	0.2467494869
59	0.2460392087
60	0.2453143173
61	0.2445788213
62	0.2441461432
63	0.2434775489
64	0.2430540438
65	0.2425048436
66	0.2421575986
67	0.2417612036
68	0.2413151166
69	0.2408106197
70	0.2401793769
71	0.239540359
72	0.238901657
73	0.2381582453
74	0.2376886901
75	0.2368869914
76	0.2365725347
77	0.2362175007
78	0.2357687559
79	0.2352931298
80	0.2347241536
81	0.2345133712
82	0.2341593533
83	0.2338505479
84	0.233428201
85	0.2331166537
86	0.2328306452
87	0.2325341027
88	0.2322450587
89	0.2317634363
90	0.231176061
91	0.2309102583
92	0.2302890148
93	0.2300835393
94	0.2298892791
95	0.2294985578
96	0.2290870234
97	0.228656748
98	0.2284551924
99	0.2281412214
100	0.2276748089
101	0.2274963403
102	0.2270325205
103	0.226756496
104	0.2265545132
105	0.2262875295
106	0.2261062583
107	0.2257510014
108	0.2254464962
109	0.2252483882
110	0.2250391887
111	0.2248355386
112	0.2244935652
113	0.2241612967
114	0.2239901317
115	0.223550327
116	0.2233597894
117	0.2229062609
118	0.2226897731
119	0.2225484136
120	0.2223712724
121	0.2221644263
122	0.2219092702
123	0.2217048748
124	0.2215424632
125	0.2212539269
126	0.2210126821
127	0.22080861
128	0.2201811814
129	0.2199594848
130	0.2197419899
131	0.2193450943
132	0.2190618811
133	0.2188863222
134	0.2186108803
135	0.2183199712
136	0.2180851968
137	0.217953445
138	0.217763134
139	0.2173820667
140	0.2171082535
141	0.2170124188
142	0.216860484
143	0.2167075489
144	0.2164528283
145	0.2163232745
146	0.2160507827
147	0.2157388484
148	0.2156117058
149	0.215222269
150	0.215077487
151	0.2149381649
152	0.2147290874
153	0.2145702667
154	0.2142968714
155	0.2141107829
156	0.2139879466
157	0.2137844865
158	0.2135201714
159	0.2131758571
160	0.2130200495
161	0.2129211852
162	0.2127092078
163	0.2125561153
164	0.2123068102
165	0.2120446156
166	0.2117980765
167	0.2115330846
168	0.2110870963
169	0.2108524865
170	0.2106444063
171	0.2105603084
172	0.2103132724
173	0.2101040393
174	0.2099807773
175	0.2096578606
176	0.2093812011
177	0.2091413086
178	0.2089739609
179	0.2087220588
180	0.2085708521
181	0.2083916156
182	0.2082327677
183	0.2080821757
184	0.2078431869
185	0.2076208932
186	0.2074089678
187	0.2071271448
188	0.2070082646
189	0.2068468352
190	0.2066350416
191	0.2065182191
192	0.2063095853
193	0.2061487982
194	0.2059072804
195	0.2057528204
196	0.2054773102
197	0.2053125253
198	0.2052044023
199	0.204924277
200	0.204809871
201	0.204492136
202	0.2043327629
203	0.204147009
204	0.204025537
205	0.2037622446
206	0.2035843308
207	0.2033831451
208	0.2032430256
209	0.203052747
210	0.2029069856
211	0.2027119614
212	0.2025530256
213	0.2023234776
214	0.2021832057
215	0.2020174688
216	0.2018992066
217	0.2016995724
218	0.201557889
