iter	Passed	Remaining
0	170	170299
1	228	114014
2	294	97786
3	340	84754
4	405	80618
5	452	74940
6	498	70654
7	534	66290
8	593	65405
9	637	63110
10	685	61666
11	727	59868
12	778	59143
13	867	61070
14	942	61891
15	985	60604
16	1029	59523
17	1074	58611
18	1120	57855
19	1167	57231
20	1225	57152
21	1282	57002
22	1322	56177
23	1372	55798
24	1422	55480
25	1468	55022
26	1513	54532
27	1554	53953
28	1596	53463
29	1643	53130
30	1688	52783
31	1734	52469
32	1775	52028
33	1819	51685
34	2017	55622
35	2058	55115
36	2112	54980
37	2159	54681
38	2198	54185
39	2245	53900
40	2286	53471
41	2327	53080
42	2373	52822
43	2417	52535
44	2464	52297
45	2502	51900
46	2544	51599
47	2585	51278
48	2627	51001
49	2668	50702
50	2706	50359
51	2747	50092
52	2789	49833
53	2829	49575
54	2981	51219
55	3034	51156
56	3099	51276
57	3144	51066
58	3210	51204
59	3268	51207
60	3338	51384
61	3391	51317
62	3439	51154
63	3488	51025
64	3526	50731
65	3573	50565
66	3610	50280
67	3671	50326
68	3721	50218
69	3848	51124
70	3891	50913
71	3979	51285
72	4051	51447
73	4094	51233
74	4168	51417
75	4213	51232
76	4254	50998
77	4330	51182
78	4398	51282
79	4436	51016
80	4477	50805
81	4518	50587
82	4564	50434
83	4610	50279
84	4662	50194
85	4727	50239
86	4790	50268
87	4853	50304
88	4900	50159
89	4941	49968
90	4986	49808
91	5027	49621
92	5068	49427
93	5108	49237
94	5149	49059
95	5191	48887
96	5230	48696
97	5274	48547
98	5316	48387
99	5370	48334
100	5411	48164
101	5450	47985
102	5492	47832
103	5542	47752
104	5583	47588
105	5620	47401
106	5668	47307
107	5708	47149
108	5747	46985
109	5789	46844
110	5831	46705
111	5870	46544
112	5913	46414
113	5956	46292
114	5998	46165
115	6039	46024
116	6076	45858
117	6117	45725
118	6154	45563
119	6193	45416
120	6231	45272
121	6272	45138
122	6311	45001
123	6349	44853
124	6386	44707
125	6429	44601
126	6469	44473
127	6508	44340
128	6563	44317
129	6603	44190
130	6640	44049
131	6683	43948
132	6723	43827
133	6763	43712
134	6802	43588
135	6846	43495
136	6885	43375
137	6923	43248
138	6962	43130
139	7002	43015
140	7040	42894
141	7075	42751
142	7111	42621
143	7150	42504
144	7185	42370
145	7224	42257
146	7261	42138
147	7299	42023
148	7338	41913
149	7380	41821
150	7420	41722
151	7457	41605
152	7498	41509
153	7535	41396
154	7572	41282
155	7606	41154
156	7643	41039
157	7683	40947
158	7722	40847
159	7765	40768
160	7802	40657
161	7843	40575
162	7883	40483
163	7922	40384
164	7960	40285
165	7998	40183
166	8036	40086
167	8085	40041
168	8126	39957
169	8168	39881
170	8204	39774
171	8239	39664
172	8281	39586
173	8319	39493
174	8358	39403
175	8397	39313
176	8437	39233
177	8480	39163
178	8518	39072
179	8582	39096
180	8625	39029
181	8667	38955
182	8706	38869
183	8746	38787
184	8781	38684
185	8820	38599
186	8859	38519
187	8897	38428
188	8938	38357
189	8978	38275
190	9019	38203
191	9062	38139
192	9100	38050
193	9139	37970
194	9178	37891
195	9214	37800
196	9256	37730
197	9294	37645
198	9333	37569
199	9376	37505
200	9414	37424
201	9455	37353
202	9492	37270
203	9532	37195
204	9567	37102
205	9608	37034
206	9653	36983
207	9695	36918
208	9735	36844
209	9772	36763
210	9808	36676
211	9846	36599
212	9886	36528
213	9924	36453
214	9965	36383
215	10003	36307
216	10043	36238
217	10084	36173
218	10121	36093
219	10159	36019
220	10197	35946
221	10232	35859
222	10270	35786
223	10309	35714
224	10354	35664
225	10396	35605
226	10439	35548
227	10477	35476
228	10521	35424
229	10561	35359
230	10600	35288
231	10641	35228
232	10761	35425
233	10797	35347
234	10837	35279
235	10873	35200
236	10911	35129
237	10952	35066
238	10987	34985
239	11027	34919
240	11066	34851
241	11105	34783
242	11140	34704
243	11178	34634
244	11215	34561
245	11255	34497
246	11292	34426
247	11327	34347
248	11366	34280
249	11406	34219
250	11445	34152
251	11485	34090
252	11521	34017
253	11557	33945
254	11599	33889
255	11639	33828
256	11676	33757
257	11713	33686
258	11753	33627
259	11789	33555
260	11832	33501
261	11871	33439
262	11918	33398
263	11959	33342
264	11997	33277
265	12033	33205
266	12069	33135
267	12110	33076
268	12150	33019
269	12189	32955
270	12230	32901
271	12271	32844
272	12309	32780
273	12346	32714
274	12379	32638
275	12419	32577
276	12461	32526
277	12505	32477
278	12539	32405
279	12575	32338
280	12614	32278
281	12651	32210
282	12691	32153
283	12733	32103
284	12773	32045
285	12814	31991
286	12853	31931
287	12891	31871
288	12935	31823
289	13003	31836
290	13065	31834
291	13134	31846
292	13195	31839
293	13245	31806
294	13284	31746
295	13323	31689
296	13361	31626
297	13400	31568
298	13435	31500
299	13474	31440
300	13512	31379
301	13550	31318
302	13586	31254
303	13624	31193
304	13669	31147
305	13709	31093
306	13755	31049
307	13807	31023
308	13902	31090
309	13966	31086
310	14008	31035
311	14055	30995
312	14110	30971
313	14150	30913
314	14196	30870
315	14233	30808
316	14273	30753
317	14325	30724
318	14368	30674
319	14412	30627
320	14456	30579
321	14505	30542
322	14546	30489
323	14585	30431
324	14621	30366
325	14657	30304
326	14696	30247
327	14752	30225
328	14796	30178
329	14834	30118
330	14875	30066
331	14913	30007
332	14956	29958
333	14997	29905
334	15036	29848
335	15077	29796
336	15119	29746
337	15161	29694
338	15203	29645
339	15244	29591
340	15292	29553
341	15332	29499
342	15373	29447
343	15417	29401
344	15458	29349
345	15499	29297
346	15537	29239
347	15574	29180
348	15614	29125
349	15655	29074
350	15697	29024
351	15740	28976
352	15788	28938
353	15833	28893
354	15872	28838
355	15912	28784
356	15952	28732
357	15990	28675
358	16032	28627
359	16074	28576
360	16110	28517
361	16151	28465
362	16192	28414
363	16233	28364
364	16275	28315
365	16319	28269
366	16372	28238
367	16418	28196
368	16457	28142
369	16497	28090
370	16537	28037
371	16581	27992
372	16626	27948
373	16666	27896
374	16705	27842
375	16742	27785
376	16787	27740
377	16829	27692
378	16867	27638
379	16912	27593
380	16966	27565
381	17009	27518
382	17047	27463
383	17117	27458
384	17156	27405
385	17197	27355
386	17234	27299
387	17284	27262
388	17323	27209
389	17405	27223
390	17481	27227
391	17524	27181
392	17570	27137
393	17606	27080
394	17646	27027
395	17690	26982
396	17735	26938
397	17774	26885
398	17814	26832
399	17851	26777
400	17892	26726
401	17930	26673
402	17966	26615
403	18012	26572
404	18054	26525
405	18091	26469
406	18139	26429
407	18185	26386
408	18227	26338
409	18271	26292
410	18311	26241
411	18350	26189
412	18391	26139
413	18431	26088
414	18469	26034
415	18508	25983
416	18545	25928
417	18584	25876
418	18622	25823
419	18661	25770
420	18701	25720
421	18738	25665
422	18779	25616
423	18824	25572
424	18867	25526
425	18907	25475
426	18946	25424
427	18985	25373
428	19026	25324
429	19066	25273
430	19103	25220
431	19144	25171
432	19195	25136
433	19243	25096
434	19283	25045
435	19324	24998
436	19364	24948
437	19406	24900
438	19444	24848
439	19481	24794
440	19518	24740
441	19554	24686
442	19592	24633
443	19631	24584
444	19667	24529
445	19706	24478
446	19746	24428
447	19785	24379
448	19823	24326
449	19859	24272
450	19898	24221
451	19941	24176
452	19980	24127
453	20024	24081
454	20061	24029
455	20098	23976
456	20139	23929
457	20181	23883
458	20223	23835
459	20260	23784
460	20300	23735
461	20341	23687
462	20380	23637
463	20420	23589
464	20457	23536
465	20495	23486
466	20533	23435
467	20573	23386
468	20620	23346
469	20669	23307
470	20722	23273
471	20767	23231
472	20811	23187
473	20862	23151
474	20903	23104
475	20951	23064
476	20993	23017
477	21034	22970
478	21071	22919
479	21111	22870
480	21149	22820
481	21191	22774
482	21231	22726
483	21272	22678
484	21314	22632
485	21359	22589
486	21400	22543
487	21443	22498
488	21479	22445
489	21521	22399
490	21557	22348
491	21594	22296
492	21631	22245
493	21675	22202
494	21710	22149
495	21748	22099
496	21788	22051
497	21824	21999
498	21868	21956
499	21907	21907
500	21950	21863
501	21991	21816
502	22031	21769
503	22070	21719
504	22111	21673
505	22154	21629
506	22196	21583
507	22237	21536
508	22274	21487
509	22314	21439
510	22355	21392
511	22397	21347
512	22437	21300
513	22478	21254
514	22517	21205
515	22553	21154
516	22591	21106
517	22628	21055
518	22669	21009
519	22707	20961
520	22751	20917
521	22790	20869
522	22830	20822
523	22867	20772
524	22901	20720
525	22936	20668
526	22981	20626
527	23019	20578
528	23062	20533
529	23101	20486
