iter	Passed	Remaining
0	93	65010
1	119	41834
2	149	34688
3	175	30520
4	202	28185
5	226	26224
6	251	24917
7	279	24198
8	308	23718
9	333	22992
10	357	22379
11	381	21844
12	406	21461
13	431	21157
14	464	21231
15	495	21177
16	527	21210
17	557	21111
18	583	20922
19	608	20690
20	637	20617
21	664	20470
22	689	20304
23	713	20090
24	738	19929
25	761	19749
26	787	19629
27	815	19571
28	840	19441
29	865	19327
30	891	19238
31	915	19102
32	941	19037
33	972	19054
34	1004	19087
35	1032	19050
36	1057	18943
37	1082	18857
38	1108	18791
39	1132	18693
40	1157	18601
41	1179	18480
42	1202	18370
43	1224	18260
44	1249	18189
45	1278	18177
46	1301	18076
47	1326	18022
48	1354	17991
49	1380	17949
50	1408	17929
51	1432	17847
52	1458	17798
53	1485	17774
54	1508	17692
55	1533	17629
56	1557	17573
57	1583	17529
58	1609	17484
59	1633	17423
60	1659	17381
61	1685	17344
62	1709	17280
63	1733	17227
64	1759	17186
65	1786	17161
66	1810	17103
67	1836	17073
68	1868	17086
69	1894	17050
70	1919	17005
71	1943	16951
72	1969	16919
73	1992	16854
74	2016	16801
75	2042	16772
76	2068	16738
77	2094	16705
78	2118	16649
79	2141	16595
80	2167	16561
81	2194	16539
82	2219	16500
83	2243	16450
84	2266	16396
85	2291	16359
86	2318	16339
87	2343	16297
88	2368	16260
89	2393	16220
90	2417	16176
91	2439	16125
92	2465	16094
93	2493	16072
94	2518	16037
95	2545	16014
96	2571	15984
97	2598	15962
98	2625	15939
99	2650	15900
100	2676	15872
101	2701	15840
102	2724	15793
103	2750	15763
104	2777	15740
105	2803	15712
106	2829	15678
107	2853	15642
108	2878	15607
109	2904	15581
110	2931	15552
111	2958	15533
112	2985	15508
113	3009	15469
114	3034	15438
115	3059	15404
116	3086	15381
117	3114	15361
118	3141	15337
119	3168	15313
120	3191	15270
121	3216	15240
122	3241	15205
123	3266	15174
124	3290	15134
125	3316	15107
126	3342	15078
127	3368	15054
128	3393	15020
129	3418	14989
130	3442	14954
131	3466	14915
132	3489	14877
133	3513	14841
134	3541	14820
135	3565	14786
136	3590	14757
137	3615	14722
138	3640	14694
139	3668	14672
140	3692	14638
141	3718	14613
142	3744	14587
