pair,metric,delta_mean,ci_low,ci_high,significant,n_effective
E0_team_full vs E0_team_clean,r_at_p90,0.07560374441573536,0.019577327902449905,0.14387975149859877,True,1000
E0_team_full vs E0_team_clean,pr_auc,0.15101221276004162,0.14049578697294277,0.16150687755869003,True,1000
E5_team vs E0_team_clean,r_at_p90,0.09962514806030552,0.06401888787673793,0.12698877041401707,True,1000
E5_team vs E0_team_clean,pr_auc,0.18884064830941769,0.17739503124927586,0.199942045650897,True,1000
E7_team vs E0_team_clean,r_at_p90,0.10642492694588232,0.055202812565354274,0.14777928573818278,True,1000
E7_team vs E0_team_clean,pr_auc,0.19218240599699296,0.18026788206228242,0.20379885171673293,True,1000
E5_team vs E0_team_full,r_at_p90,0.024021403644570165,-0.028350225262213143,0.07505643109618174,False,1000
E5_team vs E0_team_full,pr_auc,0.037828435549376066,0.03314290703462322,0.04266660189931878,True,1000
E7_team vs E0_team_full,r_at_p90,0.030821182530146957,-0.013000860614703196,0.08781371184638477,False,1000
E7_team vs E0_team_full,pr_auc,0.04117019323695137,0.03549173141482789,0.04666172514844969,True,1000
Fusion_team vs E5_team,r_at_p90,0.00973206462624064,-0.0413921256015812,0.05420447904801792,False,1000
Fusion_team vs E5_team,pr_auc,0.009403282868514417,0.005428757940928819,0.013588712694610898,True,1000
Fusion_team vs E7_team,r_at_p90,0.0029322857406638434,-0.04523278681305139,0.04977648698371218,False,1000
Fusion_team vs E7_team,pr_auc,0.006061525180939111,0.0011523449902908795,0.010803675508529266,True,1000
